"","Country","PressFreedomScore","Giilndex2018","GDPpercapita"
"0","Norway",7.82,0.044,81807
"1","Finland",7.9,0.05,49960
"2","Sweden",8.31,0.04,54112
"3","Netherlands",8.63,0.041,52978
"4","Denmark",9.87,0.04,60596
"5","Switzerland",10.52,0.037,82839
"6","New Zealand",10.75,0.133,41966
"7","Jamaica",11.13,0.405,5356
"8","Belgium",12.07,0.045,46556
"9","Costa Rica",12.24,0.285,12027
"10","Estonia",12.27,0.091,22928
"11","Portugal",12.63,0.081,23146
"12","Germany",14.6,0.084,48196
"13","Iceland",14.71,0.057,73191
"14","Ireland",15,0.093,77450
"15","Austria",15.33,0.073,51513
"16","Luxembourg",15.66,0.078,114341
"17","Canada",15.69,0.083,46125
"18","Suriname",16.38,0.465,5950
"19","Australia",16.55,0.103,57305
"20","Samoa",18.25,0.364,4393
"21","Namibia",18.95,0.46,5932
"22","Latvia",19.53,0.169,18089
"23","Cape Verde",19.81,NA,3654
"24","Ghana",20.81,0.541,2202
"25","Cyprus",21.74,0.086,28159
"26","Spain",21.99,0.074,30524
"27","Lithuania",22.06,0.124,19090
"28","South Africa",22.19,0.422,6340
"29","France",22.21,0.051,41464
"30","United Kingdom",22.23,0.119,42491
"31","Slovenia",22.31,0.069,26234
"32","Slovakia",23.58,0.19,19547
"33","Burkina Faso",24.53,0.612,731
"34","Andorra",24.63,NA,42030
"35","Papua New Guinea",24.7,0.74,2723
"36","Trinidad and Tobago",24.74,0.323,16844
"37","Czech Republic",24.89,NA,22973
"38","Italy",24.98,0.069,34318
"39","Botswana",25.09,0.464,8259
"40","Tonga",25.41,0.418,4364
"41","Chile",25.65,0.288,15923
"42","Romania",25.67,0.316,12301
"43","Senegal",25.81,0.523,1522
"44","Guyana",26.63,0.492,4635
"45","Fiji",27.18,0.357,6202
"46","Belize",27.5,0.391,5025
"47","Madagascar",27.76,NA,461
"48","Dominican Republic",27.9,0.453,7650
"49","Comoros",27.91,NA,1446
"50","Argentina",28.3,0.354,11653
"51","Mauritius",28.46,0.369,11238
"52","Poland",28.89,0.12,15424
"53","Georgia",28.98,0.351,4345
"54","Armenia",28.98,0.259,4212
"55","Haiti",29,0.62,868
"56","Bosnia and Herzegovina",29.02,0.162,5951
"57","Croatia",29.03,0.122,14869
"58","Greece",29.08,0.122,20324
"59","Niger",29.26,0.647,389
"60","Japan",29.36,0.099,39287
"61","Malawi",29.36,0.615,275
"62","Seychelles",29.41,NA,16434
"63","Mongolia",29.51,0.322,4104
"64","Tunisia",29.61,0.3,3447
"65","Hong Kong",29.65,NA,48717
"66","Togo",29.69,0.566,672
"67","Malta",29.74,0.195,30075
"68","Lesotho",29.74,0.546,1324
"69","Panama",29.78,0.46,15575
"70","Bhutan",29.81,0.436,3361
"71","El Salvador",29.81,0.397,4058
"72","Albania",29.84,0.234,5254
"73","Kyrgyzstan",29.92,0.381,1281
"74","East Timor",29.93,NA,2036
"75","Peru",30.22,0.381,6947
"76","Sierra Leone",30.36,0.644,523
"77","Hungary",30.44,0.258,15939
"78","Guinea-Bissau",30.95,NA,778
"79","Moldova",31.21,NA,3189
"80","Liberia",31.49,0.651,674
"81","Mauritania",31.65,0.62,1219
"82","North Macedonia",31.66,0.145,6084
"83","Benin",31.74,0.613,902
"84","Ecuador",31.88,0.389,6345
"85","Maldives",32.16,0.367,10224
"86","Paraguay",32.4,0.482,5872
"87","Kenya",32.44,0.545,1711
"88","Lebanon",32.44,0.362,8270
"89","Ukraine",32.46,0.284,3095
"90","Brazil",32.79,0.386,8921
"91","Nepal",33.4,0.476,1026
"92","Guinea",33.49,NA,885
"93","Kuwait",33.86,0.245,34244
"94","Angola",34.96,0.578,3432
"95","Ethiopia",35.11,0.508,772
"96","Bulgaria",35.11,0.218,9273
"97","Mali",35.23,0.676,901
"98","Bolivia",35.38,NA,3549
"99","Nicaragua",35.53,0.455,2029
"100","Gabon",35.6,0.534,8030
"101","Guatemala",35.94,0.492,4549
"102","Tanzania",36.28,NA,1051
"103","Zambia",36.38,0.54,1540
"104","Nigeria",36.5,NA,2028
"105","Afghanistan",36.55,0.575,521
"106","Chad",36.71,0.701,730
"107","Malaysia",36.74,0.274,11239
"108","Indonesia",36.77,0.451,3894
"109","Uganda",39.42,0.531,643
"110","Sri Lanka",39.61,0.38,4103
"111","Zimbabwe",42.23,0.525,2147
"112","Qatar",42.51,0.202,69027
"113","Colombia",42.82,0.411,6651
"114","Jordan",43.11,0.469,4248
"115","Cameroon",43.32,0.566,1527
"116","Oman",43.42,0.304,16419
"117","United Arab Emirates",43.63,0.113,43005
"118","Philippines",43.91,0.425,3103
"119","Morocco",43.98,0.492,3238
"120","Thailand",44.1,0.377,7274
"121","Myanmar",44.92,0.458,1326
"122","India",45.67,0.501,2016
"123","Algeria",45.75,0.443,4279
"124","Pakistan",45.83,0.547,1473
"125","Cambodia",45.9,0.474,1512
"126","Mexico",46.78,0.334,9698
"127","Central African Republic",47.27,0.682,510
"128","Honduras",48.53,0.479,2483
"129","Russia",50.31,NA,11289
"130","Bangladesh",50.74,0.536,1698
"131","Singapore",51.41,0.065,64582
"132","Brunei",51.48,NA,31628
"133","Belarus",51.66,0.119,6290
"134","Rwanda",52.43,0.412,773
"135","Iraq",52.6,0.54,5878
"136","Turkey",52.81,0.305,9311
"137","Kazakhstan",52.82,0.203,9331
"138","Burundi",52.89,0.52,412
"139","Uzbekistan",53.52,0.303,1532
"140","Tajikistan",54.02,0.377,827
"141","Libya",55.77,0.172,7235
"142","Egypt",56.47,0.45,2549
"143","Somalia",57.24,NA,499
"144","Equatorial Guinea",58.35,NA,10174
"145","Azerbaijan",59.13,0.321,4721
"146","Bahrain",61.31,0.207,24051
"147","Yemen",61.66,0.834,944
"148","Laos",64.49,NA,2568
"149","Saudi Arabia",65.88,0.224,23219
"150","Djibouti",71.36,NA,2050
"151","Sudan",72.45,0.56,977
"152","Vietnam",74.93,NA,2564
"153","China",78.92,0.163,9771
"154","Turkmenistan",85.44,NA,6967
"155","United States",NA,0.182,62641
"156","Israel",NA,0.1,41614
"157","Montenegro",NA,0.119,8761
"158","Palau",NA,NA,17318
"159","Uruguay",NA,0.275,17278
"160","Serbia",NA,0.161,7234
"161","Saint Kitts and Nevis",NA,NA,19829
"162","Antigua and Barbuda",NA,NA,16864
"163","Grenada",NA,NA,10834
